mood,Pytanie_otwarte,URL,Device type,System,Browser,,,oceny,wystąpień,% odpowiedzi,,,,,Desktop,Telefon,Tablet,Nieznane
1,lepszy pistolet,https://allegro.pl/listing?string=pistolet%20na%20kulki%20bro%C5%84%20z%20laserem%20i%20latark%C4%85&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,Pokazuje kompletnie co innego nisz szukam. Wyszukuje koła zamienne do rowerka a pokazuje cały rower i dzwonki.,https://allegro.pl/listing?string=ko%C5%82a%20zamienne%20do%20rowerka%20biegowego&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,WinVista,Chrome 49.0.2623.112,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=Tunel%20termo&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win10,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=K%C3%93%C5%81KO%20P%C5%81YWAJ%C4%84CE%20142&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=astra%20g%201999%201%2C8%2016%20v&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/czesci-samochodowe-620?string=liczniki%20subaru%20japan&order=m&bmatch=s0-aut-1-4-0222,Desktop,WinXP,Firefox 48.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=Polsko%2C%20uwierz%20w%20swoj%C4%85%20wielko%C5%9B%C4%87.%20G%C5%82os%20biskup%C3%B3w%20w%20sprawie%20ojczyzny%202010-15%20&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=wodne%20triki%20koraliki&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=body%20rozpinane%2078&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,znaleźć towar,https://allegro.pl/listing?string=opierzenie%20komina&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win8.1,Opera 43.0.2442.1144,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=sciemniacz%20do%20swiatla%20na%20220v&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win7,IE 11,,,,,,,,,,,,,
1,musiałaby pojawić się kurkuma ze Sri Lanki nie curry,https://allegro.pl/przyprawy-i-ziola-74048?string=kurkuma%20sri%20lanka&order=qd&bmatch=base-relevance-floki-5-nga-hou-1-3-0203,Desktop,Win10,IE 14.14393,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=buty%20damskie%20p%C3%B3%C5%82buty%20racer&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=SONDA%20LAMBDA%20BOSCH%205%20PRZEWODOWA%20%20UNIWERSALNA&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win10,Chrome 56.0.2924.87,,,,,,,,,,,,,
1,,https://allegro.pl/oprogramowanie-68?string=p%C5%82yta%20z%20systemem%20operacyjnym%20windows%207&order=m&bmatch=base-relevance-floki-5-nga-ele-1-5-0403,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/rowery-i-akcesoria-rowery-16420?string=rower%20damski%20na%20akumulator&order=m&bmatch=s0-spo-1-4-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,Miały być CZĘŚĆ do mopa a NIE całe zestawy!!!!!!!!!!!!!!!!!!!!!,https://allegro.pl/listing?string=cz%C4%99%C5%9Bci%20do%20mopa%20vileda&sourceid=Mozilla-search&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win10,Firefox 52.0,,,,,,,,,,,,,
1,,http://allegro.pl/listing/user/listing.php?string=auto-ms2&us_id=38424063&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,jeżeli pisze kufel to czemu mam książki?,https://allegro.pl/listing?string=kufel%20sebastian&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,IE 11,,,,,,,,,,,,,
1,efekt,https://allegro.pl/listing?string=strona%20internetowa%20odzie%C5%BCowa&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,"""wyszukaj podobne"" - nie jest tym co się ukazuję po kliknięciu w ten guzik!",https://allegro.pl/listing?string=baza%20recaro%20isofix%20super%20cena&similar=1&link=1&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,MacOSX,Safari 9.1.3,,,,,,,,,,,,,
1,zakończyć przeszkadzanie tymi reklamami,https://allegro.pl/listing?string=%C5%9Bwieczki%20urodzinowe%20w%20kszta%C5%82cie%20pi%C5%82ki&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=jab%C5%82o%C5%84%20profesor&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win10,IE 13.10586,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=wentyl%20do%20citroen%20c4%20grand&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,maile na pocztę,https://allegro.pl/listing?string=arytmetyka%20bankowa&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,jak by był produky,https://allegro.pl/listing?string=HASBRO%20NERF%20SUPER%20SOAKER%20THUNDERSTORM%20%2B%20MAGAZYNEK&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=rurka%20aluminiowa%20fi%2032&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,"Piszę ""Peiying"" wyświetla również tzw ""sponsorowane"" rowery""",https://allegro.pl/listing?string=Peiying%20bateria&order=n&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,wyświetlić się ekipy budowlane nie materiały,https://allegro.pl/listing?string=ekipa%20do%20budowy%20domu&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Firefox 51.0,,,,,,,,,,,,,
1,szukałem pompy sprzęgła a nie wszystkich części,https://allegro.pl/motoryzacja?string=pompa%20sprz%C4%99g%C5%82a%20renault%20espace%202002&order=m&bmatch=s0-aut-1-4-0222,Desktop,WinVista,Firefox 52.0,,,,,,,,,,,,,
1,gówno,https://allegro.pl/listing?string=gra%20podr%C3%B3%C5%BCe%20pana%20kleksa&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=zabawka%20dzwiek%20prawdziwego%20zwierzaka&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win8,IE 10,,,,,,,,,,,,,
1,,https://allegro.pl/sprzet-audio-dla-domu-11?string=wtyczka%20do%20radia%20damska&order=m&bmatch=base-relevance-floki-5-nga-ele-1-2-0403,Desktop,Ubuntu,Firefox 46.0,,,,,,,,,,,,,
1,Żaden z wyników nie jest zbliżony do przedmiotu którego podobieństwo miało zostać znalezione :/,https://allegro.pl/listing?string=ADAPTER%20M42%20-%20OLYMPUS%204%2F3%20POTWIERDZENIE%20PROGRAM&similar=1&link=1&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,WinXP,Firefox 48.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=%C5%9Bciereczki%20mikro%20w%C5%82%C3%B3knina&order=p&bmatch=s0-uni-1-4-0222,Desktop,Win7,Chrome 48.0.2564.97,,,,,,,,,,,,,
1,Zakładka gorące oferty zasłania stronę,https://allegro.pl/listing?string=zak%C5%82adka%20gor%C4%85ce%20oferty%20jak%20si%C4%99%20pozby%C4%87&order=p&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,WinVista,Chrome 49.0.2623.112,,,,,,,,,,,,,
1,wyszukiwac dokladnie to co wpisuje a nie milion gowien zawierajacych kawalek mojego zapytania,https://allegro.pl/listing?string=go%20clever%20city&order=pd&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,MacOSX,Safari 10.1,,,,,,,,,,,,,
1,słaby filtr,https://allegro.pl/gry?string=paragon%20epic%20games&order=m&bmatch=base-relevance-floki-5-nga-cul-1-1-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=%22a2mobile%22&order=qd&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=ALUFELGI%20RENAULT%20SCENIC%2015%22&order=p&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=aleja%20opon&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,znalazło to co szukam ?!,https://allegro.pl/listing?string=vnm%20na%20szlaku%20po%20czek&order=p&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/trafika-akcesoria-papierosowe-78995?string=paczki%20i%20gilzy%20do%20papieros%C3%B3w&order=m&bmatch=base-relevance-floki-5-nga-col-1-2-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,"zasugerowanie podobnego działu przedmiotu",https://allegro.pl/rowery-i-pojazdy-hulajnogi-86394?hamulec=tak&string=wyczynowa%2C%20sportowa&order=p&bmatch=base-relevance-floki-5-nga-bab-1-2-0222,Desktop,Win10,Opera 43.0.2442.1144,,,,,,,,,,,,,
1,szukam papieru tekturowego a w ofercie pojawiają się motylki na ścianę i worki do odkurzacza.......,https://allegro.pl/listing?string=papier%20tekturowy%20z%C5%82oty&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/bizuteria-damska-naszyjniki-123433?order=m&string=per%C5%82y%20naturalne%20licytacja&bmatch=base-relevance-floki-5-nga-biz-1-5-0222,Desktop,Win7,IE 11,,,,,,,,,,,,,
1,szukam sprezynę pokazujecie lunete??????????????????,https://allegro.pl/listing?string=spr%C4%99%C5%BCyny%208cm%20twarde&order=p&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,Chcę przywrócenia starego allegro.,https://allegro.pl/ksiazki-i-komiksy?string=narodziny%20rewolwerowca&order=m&bmatch=base-relevance-floki-5-nga-cul-1-1-0222,Desktop,Win10,Firefox 51.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=kamery%20zewn%C4%99trzne%20p2p%20%C4%B1p&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/laptopy-apple-77915?string=macbook%20air%2013%20retina&offerTypeBuyNow=1&price_to=3000&order=d&bmatch=base-relevance-floki-5-nga-ele-1-1-0403,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,"wyszukiwanie JEDYNIE DOKŁADNIE tego co wpisuję. Jeżeli nie ma wyświetlany jest komunikat o braku dopasowania.",https://allegro.pl/listing?string=sklejka%2010mm%20d%C4%85b&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,sprzedawcy byle jak opisuja aukcje,https://allegro.pl/telewizory-lcd-14241?buyNew=1&price_to=1000&przekatna-ekranu-cale-do=45&price_from=550&string=manta%20LED%20TV%2040%22%20LED94005%20&order=m&bmatch=s0-ele-1-4-0403,Desktop,WinXP,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=sprinter%20lift%20nak%C5%82adki%20halogen%C3%B3w&order=pd&bmatch=s0-uni-1-4-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,musiałbym znaleźć to czego szukam,https://allegro.pl/listing?string=przej%C5%9Bci%C3%B3wka%20chi%C5%84ska%20wtyczka&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=Czujnik%20szybko%C5%9Bci%20opel%20tigra&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=zmiana%20numeru%20karty%20p%C5%82atniczej&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=balance%20xt&order=pd&bmatch=s0-uni-1-4-0222,Desktop,MacOSX,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,nie pokazywać przedmiotów nie związanych z tematem wyszukiwania,https://allegro.pl/listing?string=walizka%20na%20bro%C5%84%2040%20cm&order=m&bmatch=s0-uni-1-4-0222,Desktop,WinXP,Chrome 46.0.2480.0,,,,,,,,,,,,,
1,poprawność pisowni przez allegrowiczów,https://allegro.pl/listing?string=miernik%20obrot%C3%B3w%20fiat&order=p&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win8,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,być trafne,https://allegro.pl/listing?string=Kymco%20mxu%20maxxer%20150%20250%20300%20400%20500%20cz%C4%99%C5%9Bci%20filtr&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win8.1,Opera 43.0.2442.1144,,,,,,,,,,,,,
1,"Musiałyby się oczywiście odnosić do tego czego szukam.",https://allegro.pl/listing?string=FELGI%20STALOWE%2016%22%20TOYOTA%20AVENSIS%20AURIS%20RAV%20CO&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,WinVista,Firefox 52.0,,,,,,,,,,,,,
1,zeby znalazło cociaż jeden produkt o który mi chodziło :),https://allegro.pl/listing?string=garnek%20z%20przegr%C3%B3dk%C4%85&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/sporty-towarzyskie-i-rekreacja-13408?string=buty%20do%20jazdy%20konnej%20z%20prawidlami&order=m&bmatch=s0-spo-1-4-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,Dokładniejsze wyszukiwanie z wpisanego tekstu,https://allegro.pl/listing?string=mocowanie%20pompy%20paliwa%20mercedes%20124&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win10,Chrome 56.0.2924.87,,,,,,,,,,,,,
1,bledne wyszukiwanie,https://allegro.pl/listing?string=%C5%82apa%20antywibracyjna&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win10,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=lampa%20ogrodowa%20led%204%20diody&order=p&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=os%C5%82ona%20%C5%9Bwiat%C5%82a%20przeciwmgielnego%20citroen%20c4&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win10,Chrome 56.0.2924.87,,,,,,,,,,,,,
1,,https://allegro.pl/dziecko?string=botki%20zamszowe%20czarne%20dla%20dziewczynek&order=m&bmatch=base-relevance-floki-5-nga-bab-1-3-0222,Desktop,Win7,Opera 44.0.2510.857,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=wej%C5%9Bcie%20usb%20do%20sony%20xperia%20m2&order=p&bmatch=s0-uni-1-4-0222,Desktop,WinVista,Chrome 49.0.2623.112,,,,,,,,,,,,,
1,jestem wk----y,https://allegro.pl/listing?string=ta%C5%9Bma%20okleinowa%205%20mm&order=p&bmatch=s0-uni-1-4-0222,Desktop,Win7,Chrome 56.0.2924.87,,,,,,,,,,,,,
1,nie znaleziono,https://allegro.pl/komputery?string=program%20do%20projektowania%20mebli%20i%20wn%C4%99trz&order=m&bmatch=base-relevance-floki-5-nga-ele-1-1-0403,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,proponuje algorytm wyszukiwania jak na ebay.com,https://allegro.pl/listing?string=pin%20przypinka%20na%20zam%C3%B3wienie%20&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,MacOSX,Safari 10.0.1,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=Proporzec%20rycerski&order=pd&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=sigma%2018-35mm%20f1.4&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win10,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=SixPack%20English&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,MacOSX,Safari 10.1,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=tanie%20aparaty%20cyfrowe%20u%C5%BCywane&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=chusta%20real%20madryt&order=p&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=okr%C4%85g%C5%82a%20g%C5%82owa%20plastik&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win10,Chrome 56.0.2924.76,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=muszla%20klozetowa%20szk%C5%82o&order=t&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,WinXP,Firefox 43.0,,,,,,,,,,,,,
1,nie ma tego  co szukam,https://allegro.pl/listing?string=pojemniki%20na%20siano%20dla%20gryzoni&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=conan%20gra%20planszowa&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=vaillant%20vu%20466&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=609360818&order=pd&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=silnik%20elektryczny%20230v%20do%20wiertarki%20poziomej&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=ramka%20z%20drewna%20a3&order=p&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win10,Opera 44.0.2510.857,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=smieszne%20dla%20ojca%20i%20syna&order=m&bmatch=s0-uni-1-4-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=regeneracja%20karty%20graficznej&order=p&bmatch=s0-uni-1-4-0222,Desktop,GNU/Linux,Opera 44.0.2510.1159,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=automatyczny%20w%C5%82%C4%85cznik%20%C5%9Bwiate%C5%82%20vitara&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,nie wiem,https://allegro.pl/listing?string=p%C3%B3%C5%82buty%20fila%20dzieci%C4%99ce&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,?,https://allegro.pl/listing?string=SPINKA%20LISTWY%20BOCZNEJ%20PEUGEOT%20206%20307%20FIAT%20STILO&order=d&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=motywy%20papryka%20czosnek%20&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=K%26N%20SPORTOWY%20FILTR%20POWIETRZA%20BMW%20E36%20E46%20E39&order=m&bmatch=base-relevance-floki-5-nga-uni-1-2-0222,Desktop,Win8.1,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=DENON%20PMA-655R%20AUDIOFILSKI%20WZMACNIACZ%20STEREO%20%20.&similar=1&link=1&order=m&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,WinVista,Firefox 50.0,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=klips%20do%20wywozki&order=m&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Maxthon 5.0.2.1000,,,,,,,,,,,,,
1,,https://allegro.pl/polosie-przeguby-waly-przeguby-256005?string=bmw%20e%2039%202.0%20benzyna&typ-silnika=Benzyna&order=m&bmatch=base-relevance-floki-5-nga-aut-1-2-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,,https://allegro.pl/listing?string=c3%20regeneracja%20belki&order=pd&bmatch=base-relevance-floki-5-nga-uni-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,niw wyświetlać błędnych wyników,https://allegro.pl/listing?string=wapno%20do%20kompostownika&order=d&bmatch=s0-uni-1-4-0222,Desktop,Win7,Firefox 52.0,,,,,,,,,,,,,
1,odszukać właściwą grę,https://allegro.pl/towarzyskie-5916?string=karty%20przeciwko%20ludzko%C5%9Bci&order=m&bmatch=base-relevance-floki-5-nga-cul-1-5-0222,Desktop,Win8.1,Opera 43.0.2442.1144,,,,,,,,,,,,,
1,Wyświetlić poprawne wyniki ;),https://allegro.pl/listing?string=elektrozaw%C3%B3r%205%2F3%2012v&order=m&bmatch=base-relevance-floki-5-nga-uni-1-5-0222,Desktop,Ubuntu,Firefox 52.0,,,,,,,,,,,,,
1,koło 24 3 BIEGI Z MANETKĄ,https://allegro.pl/rowery-i-akcesoria-czesci-16416?string=ko%C5%82o%2024%207%20BIEGI%20Z%20MANETK%C4%84&order=m&bmatch=base-relevance-floki-5-nga-spo-1-1-0222,Desktop,Win7,Chrome 57.0.2987.133,,,,,,,,,,,,,
1,lepsze,https://allegro.pl/listing?string=kamienie%20akwarium%20ciemne&order=p&bmatch=s0-uni-1-4-0222,Desktop,MacOSX,Safari 10.0.3,,,,,,,,,,,,,
1,żeby wyniki wyszukiwania były zgodne z wprowadzonymi wyrazami w wyszukiwarce,https://allegro.pl/listing?string=scenic%20iii%20listwa%20pasa%20tylnego&order=p&bmatch=base-relevance-floki-5-nga-uni-1-3-0222,Desktop,Win10,Chrome 57.0.2987.133,,,,,,,,,,,,,
